k,seed,init_method,dist_mode,n_iter,converged,final_cost,init_cost,fit_time,predict_time,train_acc,test_acc,test_acc_clean,outlier_correct,n_outlier,n_empty,min_cluster,max_cluster,n_pure_clusters
125,8,forgy,loop,12,1,2417654419.23973,2627772216.49005,1.248820625,0.011313625,0.814666666666667,0.78,0.777777777777778,9,11,0,1,26,37
125,9,forgy,loop,15,1,2434499474.57328,2626557942.69411,1.556056625,0.011136625,0.809333333333333,0.77,0.772486772486772,8,11,0,1,29,31
150,1050,forgy,loop,10,1,2307812498.76698,2473866198.24796,1.21673041666667,0.01369025,0.832,0.79,0.777777777777778,11,11,0,1,30,60
150,1,forgy,loop,11,1,2307485232.31593,2480186187.95897,1.33864329166667,0.0138937916666667,0.816,0.81,0.814814814814815,8,11,0,1,29,56
150,2,forgy,loop,10,1,2327386788.58424,2501781479.35508,1.21984104166667,0.0139277083333333,0.832666666666667,0.815,0.814814814814815,9,11,0,1,32,54
150,3,forgy,loop,10,1,2317794182.43202,2456770595.38357,1.21758525,0.0133735833333333,0.818666666666667,0.81,0.80952380952381,9,11,0,1,32,52
150,4,forgy,loop,11,1,2328366686.5974,2463423496.0378,1.33426533333333,0.0135282083333333,0.824,0.82,0.82010582010582,9,11,0,1,27,56
150,5,forgy,loop,10,1,2331048295.60825,2491993242.71205,1.21593858333333,0.0133660833333333,0.816,0.79,0.788359788359788,9,11,0,1,30,59
150,6,forgy,loop,9,1,2308151867.60892,2490454601.20739,1.09755425,0.0142008333333333,0.850666666666667,0.84,0.841269841269841,9,11,0,1,34,64
150,7,forgy,loop,18,1,2309368523.02247,2486250383.70742,2.19443558333333,0.0136302083333333,0.840666666666667,0.79,0.793650793650794,8,11,0,1,27,53
150,8,forgy,loop,9,1,2322642375.75858,2488291429.55523,1.09551195833333,0.0138840416666667,0.820666666666667,0.805,0.793650793650794,11,11,0,1,28,58
150,9,forgy,loop,12,1,2328719174.72894,2486698330.17519,1.45769058333333,0.013649,0.818,0.81,0.80952380952381,9,11,0,1,31,49
